id,"name","district_id",type
139,"खडक नगरपालिका","15",1
140,"शम्भुनाथ नगरपालिका","15",1
141,"सुरुङ्‍गा नगरपालिका","15",1
142,"हनुमाननगर कङ्‌कालिनी नगरपालिका","15",1
143,"सप्तकोशी नगरपालिका","15",1
144,"अग्निसाइर कृष्णासवरन गाउँपालिका","15",0
145,"छिन्नमस्ता गाउँपालिका","15",0
146,"महादेवा गाउँपालिका","15",0
147,"तिरहुत गाउँपालिका","15",0
148,"तिलाठी कोईलाडी गाउँपालिका","15",0
149,"रुपनी गाउँपालिका","15",0
150,"बेल्ही चपेना गाउँपालिका","15",0
151,"बिष्णुपुर गाउँपालिका","15",0
152,"बलान-बिहुल गाउँपालिका","15",0
153,"लहान नगरपालिका","16",1
154,"धनगढीमाई नगरपालिका","16",1
155,"सिरहा नगरपालिका","16",1
156,"गोलबजार नगरपालिका","16",1
157,"मिर्चैयाँ नगरपालिका","16",1
158,"कल्याणपुर नगरपालिका","16",1
159,"कर्जन्हा नगरपालिका","16",1
160,"सुखीपुर नगरपालिका","16",1
161,"भगवानपुर गाउँपालिका","16",0
162,"औरही गाउँपालिका","16",0
163,"विष्णुपुर गाउँपालिका","16",0
164,"बरियारपट्टी गाउँपालिका","16",0
165,"लक्ष्मीपुर पतारी गाउँपालिका","16",0
166,"नरहा गाउँपालिका","16",0
167,"सखुवानान्कारकट्टी गाउँपालिका","16",0
168,"अर्नमा गाउँपालिका","16",0
169,"नवराजपुर गाउँपालिका","16",0
170,"जनकपुर उपमहानगरपालिका","17",2
171,"क्षिरेश्वरनाथ नगरपालिका","17",1
172,"गणेशमान चारनाथ नगरपालिका","17",1
173,"धनुषाधाम नगरपालिका","17",1
174,"नगराइन नगरपालिका","17",1
175,"विदेह नगरपालिका","17",1
176,"मिथिला नगरपालिका","17",1
177,"शहीदनगर नगरपालिका","17",1
178,"सबैला नगरपालिका","17",1
179,"कमला नगरपालिका","17",1
180,"मिथिला बिहारी नगरपालिका","17",1
181,"हंसपुर नगरपालिका","17",1
182,"जनकनन्दिनी गाउँपालिका","17",0
183,"बटेश्वर गाउँपालिका","17",0
184,"मुखियापट्टी मुसहरमिया गाउँपालिका","17",0
185,"लक्ष्मीनिया गाउँपालिका","17",0
186,"धनौजी गाउँपालिका","17",0
187,"जलेश्वर नगरपालिका","18",1
188,"बर्दिबास नगरपालिका","18",1
189,"गौशाला नगरपालिका","18",1
190,"लोहरपट्टी नगरपालिका","18",1
191,"रामगोपालपुर नगरपालिका","18",1
192,"मनरा शिसवा नगरपालिका","18",1
193,"मटिहानी नगरपालिका","18",1
194,"भँगाहा नगरपालिका","18",1
195,"बलवा नगरपालिका","18",1
196,"औरही नगरपालिका","18",1
197,"एकडारा गाउँपालिका","18",0
198,"सोनमा गाउँपालिका","18",0
199,"साम्सी गाउँपालिका","18",0
200,"महोत्तरी गाउँपालिका","18",0
201,"पिपरा गाउँपालिका","18",0
202,"ईश्वरपुर नगरपालिका","19",1
203,"मलंगवा नगरपालिका","19",1
204,"लालबन्दी नगरपालिका","19",1
205,"हरिपुर नगरपालिका","19",1
206,"हरिपुर्वा नगरपालिका","19",1
207,"हरिवन नगरपालिका","19",1
208,"बरहथवा नगरपालिका","19",1
209,"बलरा नगरपालिका","19",1
210,"गोडैटा नगरपालिका","19",1
211,"बागमती नगरपालिका","19",1
212,"कविलासी नगरपालिका","19",1
213,"चक्रघट्टा गाउँपालिका","19",0
214,"चन्द्रनगर गाउँपालिका","19",0
215,"धनकौल गाउँपालिका","19",0
216,"ब्रह्मपुरी गाउँपालिका","19",0
217,"रामनगर गाउँपालिका","19",0
218,"विष्णु गाउँपालिका","19",0
219,"कौडेना गाउँपालिका","19",0
220,"पर्सा गाउँपालिका","19",0
221,"बसबरीया गाउँपालिका","19",0
222,"चन्द्रपुर नगरपालिका","20",1
223,"गरुडा नगरपालिका","20",1
